building_id,surface_uid,physical_facet_uid,component_size
DEBW522AA000330e9,S0274,DEBW522AA000330e9_PF005,1
DEBW522AA000330e9,S0275,DEBW522AA000330e9_PF006,1
DEBW522AA000330e9,S0276,DEBW522AA000330e9_PF007,1
DEBW522AA000330e9,S0277,DEBW522AA000330e9_PF008,1
DEBW522AA000330e9,S0278,DEBW522AA000330e9_PF009,1
DEBW522AA000330e9,S0279,DEBW522AA000330e9_PF010,1
DEBW522AA00008bfa,S0280,DEBW522AA00008bfa_PF001,1
DEBW522AA00008bfa,S0281,DEBW522AA00008bfa_PF002,1
DEBW522AA00008bfa,S0282,DEBW522AA00008bfa_PF003,1
DEBW522AA00008bfa,S0283,DEBW522AA00008bfa_PF004,1
DEBW522AA00008bfa,S0284,DEBW522AA00008bfa_PF005,1
DEBW522AA00008bfa,S0285,DEBW522AA00008bfa_PF006,1
DEBW522AA00008bfa,S0286,DEBW522AA00008bfa_PF007,1
DEBW522AA00008bfa,S0287,DEBW522AA00008bfa_PF008,1
DEBW522AA00008bfa,S0288,DEBW522AA00008bfa_PF009,1
DEBW522AA00008bfa,S0289,DEBW522AA00008bfa_PF010,1
DEBW522AA00008bfa,S0290,DEBW522AA00008bfa_PF011,1
DEBW522AA00008bfa,S0291,DEBW522AA00008bfa_PF012,1
DEBW522AA00008bfa,S0292,DEBW522AA00008bfa_PF013,1
DEBW522AA00008bfa,S0293,DEBW522AA00008bfa_PF014,1
DEBW522AA00008bfa,S0294,DEBW522AA00008bfa_PF015,1
DEBW522AA00010752,S0295,DEBW522AA00010752_PF001,1
DEBW522AA00010752,S0296,DEBW522AA00010752_PF002,1
DEBW522AA00010752,S0297,DEBW522AA00010752_PF003,1
DEBW522AA00010752,S0298,DEBW522AA00010752_PF004,1
DEBW522AA00010752,S0299,DEBW522AA00010752_PF005,1
DEBW522AA00010752,S0300,DEBW522AA00010752_PF006,1
DEBW522AA0004292e,S0301,DEBW522AA0004292e_PF001,2
DEBW522AA0004292e,S0302,DEBW522AA0004292e_PF001,2
DEBW522AA0004292e,S0303,DEBW522AA0004292e_PF002,4
DEBW522AA0004292e,S0304,DEBW522AA0004292e_PF002,4
DEBW522AA0004292e,S0305,DEBW522AA0004292e_PF002,4
DEBW522AA0004292e,S0306,DEBW522AA0004292e_PF002,4
DEBW522AA0004292e,S0307,DEBW522AA0004292e_PF003,1
DEBW522AA0004292e,S0308,DEBW522AA0004292e_PF004,1
DEBW522AA0004292e,S0309,DEBW522AA0004292e_PF005,1
DEBW522AA0004292e,S0310,DEBW522AA0004292e_PF006,1
DEBW522AA0004292e,S0311,DEBW522AA0004292e_PF007,1
DEBW522AA0000cfb4,S0312,DEBW522AA0000cfb4_PF001,1
DEBW522AA0000cfb4,S0313,DEBW522AA0000cfb4_PF002,1
DEBW522AA0000cfb4,S0314,DEBW522AA0000cfb4_PF003,1
DEBW522AA0000cfb4,S0315,DEBW522AA0000cfb4_PF004,1
DEBW522AA00014ad3,S0316,DEBW522AA00014ad3_PF001,1
DEBW522AA00014ad3,S0317,DEBW522AA00014ad3_PF002,1
DEBW522AA00014ad3,S0318,DEBW522AA00014ad3_PF003,1
DEBW522AA00014ad3,S0319,DEBW522AA00014ad3_PF004,1
DEBW522AA00014ad3,S0320,DEBW522AA00014ad3_PF005,1
DEBW522AA00014ad3,S0321,DEBW522AA00014ad3_PF006,1
DEBW522AA00014ad3,S0322,DEBW522AA00014ad3_PF007,1
DEBW522AA00014ad3,S0323,DEBW522AA00014ad3_PF008,1
DEBW522AA00014ad3,S0324,DEBW522AA00014ad3_PF009,1
DEBW522AA00014ad3,S0325,DEBW522AA00014ad3_PF010,1
DEBW522AA00014ad3,S0326,DEBW522AA00014ad3_PF011,1
DEBW522AA00014ad3,S0327,DEBW522AA00014ad3_PF012,1
DEBW522AA00014ad3,S0328,DEBW522AA00014ad3_PF013,1
DEBW522AA00014ad3,S0329,DEBW522AA00014ad3_PF014,1
DEBW522AA00014ad3,S0330,DEBW522AA00014ad3_PF015,1
DEBW522AA00014ad3,S0331,DEBW522AA00014ad3_PF016,1
DEBW522AA00014ad3,S0332,DEBW522AA00014ad3_PF017,1
DEBW522AA00016048,S0333,DEBW522AA00016048_PF001,1
DEBW522AA00016048,S0334,DEBW522AA00016048_PF002,1
DEBW522AA00016048,S0335,DEBW522AA00016048_PF003,1
DEBW522AA00016048,S0336,DEBW522AA00016048_PF004,1
DEBW522AA00016048,S0337,DEBW522AA00016048_PF005,1
DEBW522AA00016048,S0338,DEBW522AA00016048_PF006,1
DEBW522AA00016048,S0339,DEBW522AA00016048_PF007,1
DEBW522AA00016048,S0340,DEBW522AA00016048_PF008,1
DEBW522AA00016048,S0341,DEBW522AA00016048_PF009,1
DEBW522AA0000dc32,S0342,DEBW522AA0000dc32_PF001,1
DEBW522AA0000dc32,S0343,DEBW522AA0000dc32_PF002,1
DEBW522AA0000dc32,S0344,DEBW522AA0000dc32_PF003,1
DEBW522AA0000dc32,S0345,DEBW522AA0000dc32_PF004,1
DEBW522AA0000dc32,S0346,DEBW522AA0000dc32_PF005,1
DEBW522AA0000dc32,S0347,DEBW522AA0000dc32_PF006,1
DEBW522AA00001e49,S0348,DEBW522AA00001e49_PF001,1
DEBW522AA0003e07e,S0349,DEBW522AA0003e07e_PF001,1
DEBW522AA0000006d,S0350,DEBW522AA0000006d_PF001,1
DEBW522AA0000006d,S0352,DEBW522AA0000006d_PF002,2
DEBW522AA0000006d,S0376,DEBW522AA0000006d_PF002,2
DEBW522AA0000006d,S0354,DEBW522AA0000006d_PF003,1
DEBW522AA0000006d,S0355,DEBW522AA0000006d_PF004,2
DEBW522AA0000006d,S0356,DEBW522AA0000006d_PF004,2
DEBW522AA0000006d,S0357,DEBW522AA0000006d_PF005,1
DEBW522AA0000006d,S0358,DEBW522AA0000006d_PF006,3
DEBW522AA0000006d,S0360,DEBW522AA0000006d_PF006,3
DEBW522AA0000006d,S0377,DEBW522AA0000006d_PF006,3
